District,Station,Station_Abbr,Crop_Year,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,Drought_Index,Moisture_Adequacy_Index,Water_Balance_mm
Nashik,Niphad,NPD,1997-1998,1997,1998,1997-10-01,1998-09-30,365,273,74.79452054794521,594.3,273,1939.3000000000002,273,0.0,0,7.763565891472868,258,32.542857142857144,273,17.645421245421247,273,25.10955882352941,272,85.86446886446886,273,48.70955882352941,272,74.52054794520548,92,53,209,1,-0.6935492187902852,,-1345.0000000000002
Nashik,Niphad,NPD,1998-1999,1998,1999,1998-10-01,1999-09-30,365,365,100.0,711.4,365,1938.3,365,0.0,0,7.350728862973761,343,31.211780821917806,365,15.266301369863013,365,23.184109589041093,365,88.38630136986302,365,51.07967032967033,364,100.0,62,30,306,4,-0.6329773512872106,,-1226.9
Nashik,Niphad,NPD,1999-2000,1999,2000,1999-10-01,2000-09-30,366,348,95.08196721311475,692.5,348,2023.1000000000001,348,0.0,0,7.731137724550898,334,31.22902298850575,348,14.13448275862069,348,22.658620689655173,348,84.04885057471265,348,45.21551724137931,348,95.08196721311475,52,31,306,1,-0.6577035242943997,,-1330.6000000000001
Nashik,Niphad,NPD,2000-2001,2000,2001,2000-10-01,2001-09-30,365,92,25.205479452054796,35.0,92,478.2,92,0.0,0,8.680434782608696,92,31.804347826086957,92,10.546739130434782,92,21.17608695652174,92,82.05434782608695,92,44.369565217391305,92,25.205479452054796,10,0,89,0,-0.9268088665830196,,-443.2
Nashik,Niphad,NPD,2001-2002,2001,2002,2001-10-01,2002-09-30,365,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,0.0
Nashik,Niphad,NPD,2002-2003,2002,2003,2002-10-01,2003-09-30,365,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,0.0
Nashik,Niphad,NPD,2003-2004,2003,2004,2003-10-01,2004-09-30,366,0,0.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,,0,,0,,0,0.0,0,0,0,0,,,0.0
Nashik,Niphad,NPD,2004-2005,2004,2005,2004-10-01,2005-09-30,365,241,66.02739726027397,624.6999999999999,241,1375.7,241,0.0,0,6.9321100917431195,218,32.335684647302905,241,18.490041493775934,241,25.405809128630704,241,81.34854771784232,241,45.07883817427386,241,66.02739726027397,89,32,180,2,-0.5459039034673258,,-751.0000000000001
Nashik,Niphad,NPD,2005-2006,2005,2006,2005-10-01,2006-09-30,365,365,100.0,976.3999999999999,365,1927.7999999999997,365,0.0,0,7.90632183908046,348,31.280547945205477,365,15.966849315068494,365,23.318327974276528,311,80.3890410958904,365,41.63835616438356,365,85.2054794520548,86,20,291,6,-0.4935159248884739,,-951.3999999999999
Nashik,Niphad,NPD,2006-2007,2006,2007,2006-10-01,2007-09-30,365,289,79.17808219178082,1015.3999999999999,289,1348.5,289,0.0,0,7.247970479704797,271,30.278892733564014,289,16.636332179930793,289,23.360984848484847,264,88.66782006920415,289,50.701388888888886,288,72.32876712328768,26,5,221,3,-0.24701520207638125,,-333.10000000000014
